CNN Evaluation on Distorted Images

The tumor_probability column is the CNN output probability for the tumor class.
Probability >= 0.5 is predicted as tumor; otherwise it is predicted as no_tumor.

clean      | original                 | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.203065
clean      | original                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.814346
clean      | original                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.566041
clean      | original                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.957516
clean      | original                 | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.243235
clean      | original                 | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.415774
distorted  | gaussian_noise           | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.521227
distorted  | gaussian_noise           | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.434188
distorted  | gaussian_noise           | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.752032
distorted  | gaussian_noise           | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.356227
distorted  | gaussian_noise           | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.338540
distorted  | gaussian_noise           | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.670537
distorted  | gaussian_noise           | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.537305
distorted  | gaussian_noise           | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.488159
distorted  | gaussian_noise           | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.665035
distorted  | gaussian_noise           | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.741893
distorted  | gaussian_noise           | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.738226
distorted  | gaussian_noise           | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.272787
distorted  | gaussian_noise           | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.680549
distorted  | gaussian_noise           | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.936526
distorted  | gaussian_noise           | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.590410
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.887902
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.760461
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.961895
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.629034
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.991642
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.810243
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.698253
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.904099
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.593107
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.563085
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.734251
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.963777
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.956250
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.615744
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.924360
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.738946
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.755742
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.619539
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.897514
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.551785
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.890463
distorted  | gaussian_noise           | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.563784
distorted  | gaussian_noise           | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.492217
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.006709
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.001116
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.065097
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.005698
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.001368
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.019155
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.005017
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.005904
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.020753
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.012032
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.011609
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.003801
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.006436
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.143489
distorted  | salt_and_pepper          | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.005050
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.087169
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.040493
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.288029
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.009415
distorted  | salt_and_pepper          | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.934118
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.064296
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.041697
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.212245
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.015496
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.019020
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.011284
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.396148
distorted  | salt_and_pepper          | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.580482
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.021481
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.204976
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.033752
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.033266
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.012300
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.222185
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.012630
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.207723
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.006985
distorted  | salt_and_pepper          | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.003697
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.938209
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.697111
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.930189
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.963911
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.719698
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.995275
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.954525
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.958157
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.765632
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.972460
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.971557
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.869224
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.973713
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.949015
distorted  | gaussian_blur            | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.957109
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.975511
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.965509
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.994698
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.916851
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.999637
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.982193
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.990134
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.986435
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.993711
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.989309
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.955335
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.991300
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.993455
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.988299
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.983595
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.994135
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.980436
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.980143
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.963105
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.974585
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.992397
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.843047
distorted  | gaussian_blur            | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.896963
distorted  | brightness_contrast      | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.573437
distorted  | brightness_contrast      | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.308252
distorted  | brightness_contrast      | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.976979
distorted  | brightness_contrast      | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.311821
distorted  | brightness_contrast      | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.222266
distorted  | brightness_contrast      | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.555234
distorted  | brightness_contrast      | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.587416
distorted  | brightness_contrast      | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.241243
distorted  | brightness_contrast      | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.968272
distorted  | brightness_contrast      | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.677613
distorted  | brightness_contrast      | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.670110
distorted  | brightness_contrast      | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.777990
distorted  | brightness_contrast      | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.615229
distorted  | brightness_contrast      | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.979568
distorted  | brightness_contrast      | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.593373
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.967289
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.956918
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.990191
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.932356
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.998277
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.876775
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.627644
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.975963
distorted  | brightness_contrast      | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.352503
distorted  | brightness_contrast      | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.448089
distorted  | brightness_contrast      | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.334859
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.988914
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.986782
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.754306
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.965017
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.915733
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.864370
distorted  | brightness_contrast      | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.335671
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.988686
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.680426
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.983272
distorted  | brightness_contrast      | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.838374
distorted  | brightness_contrast      | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.247796
distorted  | rotation                 | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.182571
distorted  | rotation                 | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.112959
distorted  | rotation                 | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.291114
distorted  | rotation                 | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.317416
distorted  | rotation                 | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.080659
distorted  | rotation                 | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.847165
distorted  | rotation                 | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.339608
distorted  | rotation                 | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.463014
distorted  | rotation                 | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.384001
distorted  | rotation                 | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.688702
distorted  | rotation                 | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.689124
distorted  | rotation                 | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.117976
distorted  | rotation                 | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.631392
distorted  | rotation                 | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.783837
distorted  | rotation                 | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.370272
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.765622
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.574542
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.972914
distorted  | rotation                 | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.411360
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.997448
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.631415
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.716544
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.680490
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.789262
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.689253
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.580384
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.937270
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.911107
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.737421
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.941823
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.910036
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.675047
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.731148
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.787699
distorted  | rotation                 | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.482316
distorted  | rotation                 | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.948610
distorted  | rotation                 | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.222988
distorted  | rotation                 | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.381334
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.077967
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.050519
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.056561
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.156602
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.038577
distorted  | perspective_warp         | true=no_tumor | predicted=tumor    | correct=False | type=FT | tumor_probability=0.572508
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.169014
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.218251
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.167939
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.355534
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.362779
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.065494
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.311515
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.475996
distorted  | perspective_warp         | true=no_tumor | predicted=no_tumor | correct=True  | type=FF | tumor_probability=0.187264
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.413128
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.273226
distorted  | perspective_warp         | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.824875
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.173876
distorted  | perspective_warp         | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.984486
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.340073
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.385449
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.339330
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.437349
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.364069
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.242953
distorted  | perspective_warp         | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.732397
distorted  | perspective_warp         | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.500969
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.390573
distorted  | perspective_warp         | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.737049
distorted  | perspective_warp         | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.675819
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.358404
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.410082
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.414925
distorted  | perspective_warp         | true=tumor    | predicted=no_tumor | correct=False | type=TF | tumor_probability=0.215724
distorted  | perspective_warp         | true=tumor    | predicted=tumor    | correct=True  | type=TT | tumor_probability=0.729303
